"","df","AIC","r2s","test.r2s"
"budbreak.null",2,388.851710136081,0,0
"budbreak.test",3,373.815791310622,0.227592935522073,0.227592935522073
"budbreak.day",4,374.986250751273,0.224941020896312,-0.0201572007734192
"budbreak.dd5sp",4,375.678462228525,0.216239232905002,-0.0316107700091501
"budbreak.dd5wt",4,375.793234272091,0.214787021036353,-0.0335222173116041
"budbreak.dd0sp2",5,368.23262028521,0.31539229983062,0.0988976402281125
"budbreak.dd0wt2",5,366.970715257138,0.329185485830207,0.117052668940067
"budbreak.td",4,367.773260603946,0.310062800822965,0.0918827846677506
"budbreak.mat",4,375.803220621905,0.261256012097975,0.0276417419770307
"budbreak.mwmt2",5,368.125385328807,0.31657537120629,0.100454836280876
"budbreak.mcmt2",5,373.181993205421,0.227720600464296,-0.0164986300222221
"budbreak.map",4,372.318362776144,0.25758478373002,0.0228095548064707
"budbreak.bffp",4,375.814575295481,0.214516696312346,-0.0338780272837194
