"","df","AIC","r2s"
"fall.null",2,216.669637970475,0
"fall.day",3,190.817808007697,0.590698410602156
"fall.tmaxat",3,174.156880541019,0.765116882561434
"fall.dd0at2",4,195.304413824991,0.538857654211891
"fall.dd0wt",3,198.032537886488,0.479420162395475
"fall.mat",3,174.120055816705,0.765405022548852
"fall.mcmt",3,184.684741871174,0.666375293225545
"fall.mwmt",3,167.962305845521,0.80893719525942
"fall.map",3,215.903051911821,0.0555270344489879
"fall.td",3,204.079037768549,0.363176040459329
"fall.effp",3,177.509108997668,0.73734826152269
"fall.cmd",3,190.982795116748,0.58844122665485
