"","df","AIC","r2s"
"set.null",2,282.353860955399,0
"set.day2",4,254.701043696069,0.626050659766039
"set.tmaxat",3,243.148227491401,0.737742857248518
"set.dd0at",3,273.125760806481,0.287644849572462
"set.dd0wt",3,269.827272627991,0.361815779915349
"set.mat",3,243.655404919453,0.733271470533373
"set.mcmt",3,256.043246763056,0.596910162456016
"set.mwmt2",4,222.332151853555,0.87287672653213
"set.map",3,282.394879838237,0.0297563473815806
"set.td",3,274.108151329883,0.263931676980803
"set.effp",3,243.138875763013,0.737824596426705
"set.cmd",3,244.86043358733,0.72233953457173
