"","Provenance","X","TestSite","budbreak_mean_days","flowering_mean_days","year","CountyAndState","prov_lat_N","prov_long_W","Elevation_ft","comments","test_lat_N","test_long_W","NumberOfProvenances","budbreak_JD","flowering_JD","BudSet_1978_Mean","LeafFall_1978_Mean","ID2","Latitude","Longitude","Elevation","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","MAR","Eref","CMD","RH","CMI","DD1040","daylength_diff"
"1","AL-1",1,"CR",101.4,136.3,1979,"Lee, AL",32.66666667,85.5,750,"",39.666667,80,33,"4/11/1979","5/16/1979",NA,NA,"Lee_AL",32.66666667,-85.5,228.6,15,24.1,32.3,24.7,2.8,10.3,19.7,11.3,8.9,17.2,26,18,372,376,343,222,-9999,-9999,-9999,-9999,20,2,0,1,422,1127,1930,1185,817,248,4,239,7,170,741,233,35,92,92,89,1,0,0,0,159,395,522,292,47,81,179,88,61,59,64,60,21.14,6.44,-11.59,-9.77,17.5,26.4,8.6,17.8,1312,517,21,51.1,22,4663,1308,1150,308,80,317,237,1,-17.2,39.8,-9999,1369,395,61,6.22,2920,4.30304924641313
"2","AL-1",33,"RD",91.2,134,1979,"Lee, AL",32.66666667,85.5,750,"",39.5,79.83333,32,"4/1/1979","5/14/1979",1978-10-21,1978-10-26,"Lee_AL",32.66666667,-85.5,228.6,15,24.1,32.3,24.7,2.8,10.3,19.7,11.3,8.9,17.2,26,18,372,376,343,222,-9999,-9999,-9999,-9999,20,2,0,1,422,1127,1930,1185,817,248,4,239,7,170,741,233,35,92,92,89,1,0,0,0,159,395,522,292,47,81,179,88,61,59,64,60,21.14,6.44,-11.59,-9.77,17.5,26.4,8.6,17.8,1312,517,21,51.1,22,4663,1308,1150,308,80,317,237,1,-17.2,39.8,-9999,1369,395,61,6.22,2920,4.30304924641313
"3","AL-2",2,"CR",102.4,138,1979,"Colbert, AL",34.5,87.66666667,700,"",39.666667,80,33,"4/12/1979","5/18/1979",NA,NA,"Colbert_AL",34.5,-87.66666667,213.36,12.3,22.5,32.4,23.7,0.4,8.8,19.1,9.3,6.4,15.6,25.7,16.5,406,348,286,243,-9999,-9999,-9999,-9999,39,3,0,2,257,992,1903,1060,1046,343,5,322,1,126,714,189,15,80,92,73,3,0,0,0,133,369,526,281,39,76,240,82,61,59,62,57,29.57,6.29,-18.42,-7.17,16.1,26.4,5.7,20.7,1282,459,20.3,57.4,45,4211,1715,1030,259,99,303,204,4,-20.3,40.9,-9999,1309,437,60,10.26,2616,4.62201909360467
"4","AL-2",34,"RD",91,134.3,1979,"Colbert, AL",34.5,87.66666667,700,"",39.5,79.83333,32,"4/1/1979","5/14/1979",1978-10-26,1978-10-28,"Colbert_AL",34.5,-87.66666667,213.36,12.3,22.5,32.4,23.7,0.4,8.8,19.1,9.3,6.4,15.6,25.7,16.5,406,348,286,243,-9999,-9999,-9999,-9999,39,3,0,2,257,992,1903,1060,1046,343,5,322,1,126,714,189,15,80,92,73,3,0,0,0,133,369,526,281,39,76,240,82,61,59,62,57,29.57,6.29,-18.42,-7.17,16.1,26.4,5.7,20.7,1282,459,20.3,57.4,45,4211,1715,1030,259,99,303,204,4,-20.3,40.9,-9999,1309,437,60,10.26,2616,4.62201909360467
"5","CA-1",35,"RD",91.7,134,1979,"Ontario, Canada",45.58333333,78.58333333,1400,"",39.5,79.83333,32,"4/1/1979","5/14/1979",1978-08-26,1978-10-09,"Ontario_Canada",45.58333333,-78.58333333,426.72,-5.1,9.1,23.8,11.3,-17,-4.1,9.8,0.5,-11,2.5,16.8,5.9,186,185,232,246,-9999,-9999,-9999,-9999,997,220,0,86,4,209,1086,312,2603,1422,190,1108,0,7,78,7,0,18,92,31,182,74,0,36,0,169,388,114,0,42,157,0,51,54,58,64,18.6,9.08,-7.63,12.99,3.5,18,-12.2,30.2,849,393,15.9,45.8,1304,1611,5323,92,142,149,262,114,293,-39.9,35.8,-9999,671,199,57,33.04,781,7.00261335082486
"6","CA-1",3,"CR",95.1,134.6,1979,"Ontario, Canada",45.58333333,78.58333333,1400,"",39.666667,80,33,"4/5/1979","5/14/1979",NA,NA,"Ontario_Canada",45.58333333,-78.58333333,426.72,-5.1,9.1,23.8,11.3,-17,-4.1,9.8,0.5,-11,2.5,16.8,5.9,186,185,232,246,-9999,-9999,-9999,-9999,997,220,0,86,4,209,1086,312,2603,1422,190,1108,0,7,78,7,0,18,92,31,182,74,0,36,0,169,388,114,0,42,157,0,51,54,58,64,18.6,9.08,-7.63,12.99,3.5,18,-12.2,30.2,849,393,15.9,45.8,1304,1611,5323,92,142,149,262,114,293,-39.9,35.8,-9999,671,199,57,33.04,781,7.00261335082486
"7","CR-1",36,"RD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-09-06,1978-10-21,"Monongalia_WV",39.66666667,-80,701.04,5.6,16.5,27.4,18.1,-4.9,3.5,14.4,5.3,0.4,10,20.9,11.7,250,303,347,229,-9999,-9999,-9999,-9999,179,22,0,11,55,542,1464,659,1583,760,39,623,0,24,307,49,6,51,92,59,32,1,0,1,76,284,444,202,22,21,97,19,62,59,62,60,21.66,10.68,-3.01,0.94,10.7,21.7,0.1,21.7,1129,542,18.4,40.1,213,2720,3005,380,207,121,283,162,34,-27.2,36.7,-9999,1005,159,61,30.27,1513,5.61795653872302
"8","FG-1",4,"CR",109.6,143.5,1979,"Levy, FL & Wayne, GA",30,82,150,"",39.666667,80,33,"4/19/1979","5/23/1979",NA,NA,"Levy_FL_Wayne_GA",30,-82,45.72,21.1,27.7,33,27.7,7.1,13.2,20.9,15.2,14.1,20.5,27,21.4,215,261,518,286,-9999,-9999,-9999,-9999,5,0,0,0,837,1415,2017,1491,396,97,2,90,46,308,827,398,85,92,92,91,0,0,0,0,222,455,532,325,76,194,27,67,58,58,66,63,-3.81,-11.53,5.93,-6.67,20.7,27.2,13.6,13.6,1280,764,24,35.6,5,5760,586,1579,360,42,342,300,0,-10.9,39.1,-9999,1534,364,61,-16.09,3880,3.86476565883002
"9","FG-1",37,"RD",101.5,147.5,1979,"Levy, FL & Wayne, GA",30,82,150,"",39.5,79.83333,32,"4/11/1979","5/27/1979",1978-11-11,1978-11-07,"Levy_FL_Wayne_GA",30,-82,45.72,21.1,27.7,33,27.7,7.1,13.2,20.9,15.2,14.1,20.5,27,21.4,215,261,518,286,-9999,-9999,-9999,-9999,5,0,0,0,837,1415,2017,1491,396,97,2,90,46,308,827,398,85,92,92,91,0,0,0,0,222,455,532,325,76,194,27,67,58,58,66,63,-3.81,-11.53,5.93,-6.67,20.7,27.2,13.6,13.6,1280,764,24,35.6,5,5760,586,1579,360,42,342,300,0,-10.9,39.1,-9999,1534,364,61,-16.09,3880,3.86476565883002
"10","FL-3",5,"CR",107.3,141,1979,"Alachua, FL",29.65,82.31666667,120,"",39.666667,80,33,"4/17/1979","5/21/1979",NA,NA,"Alachua_FL",29.65,-82.31666667,36.576,21.5,27.8,32.9,27.9,7.6,13.6,21.3,15.4,14.5,20.7,27.1,21.7,211,261,527,262,-9999,-9999,-9999,-9999,4,0,0,0,876,1437,2028,1512,364,92,2,85,54,324,838,413,86,92,92,91,0,0,0,0,227,454,524,330,80,192,25,71,58,59,67,63,-4.78,-11.19,7.82,-9.49,21,27.3,14.1,13.2,1261,746,24.6,36.6,5,5854,543,1630,361,39,343,304,0,-10.3,38.8,-9999,1534,368,62,-17.65,3973,3.80926571046312
