,TestSite,Provenance,budbreak_mean_days,flowering_mean_days,year,CountyAndState,prov_lat_N,prov_long_W,Elevation_ft,comments,test_lat_N,test_long_W,NumberOfProvenances,budbreak_JD,flowering_JD,BudSet_1978_Mean,LeafFall_1978_Mean
1,CR,AL-1,101.4,136.3,1979,"Lee, AL",32.66666667,85.5,750,,39.666667,80,33,4/11/1979,5/16/1979,NA,NA
2,CR,AL-2,102.4,138,1979,"Colbert, AL",34.5,87.66666667,700,,39.666667,80,33,4/12/1979,5/18/1979,NA,NA
3,CR,CA-1,95.1,134.6,1979,"Ontario, Canada",45.58333333,78.58333333,1400,,39.666667,80,33,4/5/1979,5/14/1979,NA,NA
4,CR,FG-1,109.6,143.5,1979,"Levy, FL & Wayne, GA",30,82,150,,39.666667,80,33,4/19/1979,5/23/1979,NA,NA
5,CR,FL-3,107.3,141,1979,"Alachua, FL",29.65,82.31666667,120,,39.666667,80,33,4/17/1979,5/21/1979,NA,NA
6,CR,GA-1,105.3,138.8,1979,"Decatur, GA",30.91666667,84.5,150,,39.666667,80,33,4/15/1979,5/18/1979,NA,NA
7,CR,IL-1,98,135.1,1979,"Williamson, IL",37.7,89.06666667,455,,39.666667,80,33,4/8/1979,5/15/1979,NA,NA
8,CR,MD-3,98.6,140.5,1979,"Anne Arundel, MD",39.03333333,76.43333333,25,,39.666667,80,33,4/8/1979,5/20/1979,NA,NA
9,CR,MI-1,102.6,136.9,1979,"Kalamazoo, MI",42.35,85.35,830,,39.666667,80,33,4/12/1979,5/16/1979,NA,NA
10,CR,MS-1,99.7,137.4,1979,"Warren, MS",32.33333333,91,300,,39.666667,80,33,4/9/1979,5/17/1979,NA,NA
11,CR,MS-3,106.3,137.5,1979,"Stone, MS",30.66666667,89.16666667,175,,39.666667,80,33,4/16/1979,5/17/1979,NA,NA
12,CR,NC-1,99.7,144.3,1979,"Buncombe, NC",35.41666667,82.5,2000,,39.666667,80,33,4/9/1979,5/24/1979,NA,NA
13,CR,NY-1,98.9,138.6,1979,"Cortland, NY",43,76.08333333,1600,,39.666667,80,33,4/8/1979,5/18/1979,NA,NA
14,CR,OH-1,105.5,140.7,1979,"Wayne, OH",40.76666667,81.91666667,1100,,39.666667,80,33,4/15/1979,5/20/1979,NA,NA
15,CR,PA-1,104.3,140.3,1979,"Warren, PA",41.83333333,79.25,1200,,39.666667,80,33,4/14/1979,5/20/1979,NA,NA
16,CR,PA-2,100.4,139.3,1979,"Potter, PA",41.66666667,78,1813,elevation evaluated from USGS point query service,39.666667,80,33,4/10/1979,5/19/1979,NA,NA
17,CR,PA-3,106.9,139,1979,"McKean, PA",41.76666667,78.81666667,2095,elevation evaluated from USGS point query service,39.666667,80,33,4/16/1979,5/19/1979,NA,NA
18,CR,PA-4,104.6,139,1979,"Centre, PA",40.85,77.83333333,1400,,39.666667,80,33,4/14/1979,5/19/1979,NA,NA
19,CR,SC-1,100.4,136.7,1979,"Pickens, SC",34.58333333,82.83333333,1000,,39.666667,80,33,4/10/1979,5/16/1979,NA,NA
