"","df","AIC","adj.r2s"
"model.null",2,192.750518279643,0
"model.day",3,181.847642274123,0.335392816684267
"model.dd0at",3,184.504225360619,0.271634867807489
"model.tmaxat",3,177.035940926772,0.437002364546211
"model.dd0wt",3,183.997264632479,0.284257064938279
"model.mwmt",3,175.906562025887,0.458506356222436
"model.mcmt",3,184.320502699777,0.276234667472296
"model.td",3,192.504527118958,0.040247967041976
"model.mat",3,177.314606894376,0.431566347848041
"model.map",3,190.23420656838,0.112518180066564
"model.cmd",3,190.746433843173,0.0967033224418997
"model.effp",3,178.746371718169,0.402797769645828
