Provenance Number,LatitudeDegree,LatitudeDecimal,LongitudeDegree,LongitudeDecimal,Elevation_ft,1985MeanHt_ft,BudBurst_JD,BudSet_JD
VT-654,44 23,44.38333333,73 17,-73.28333333,100,34.9,145,210
MN-658,45 96,46.6,94 35,-94.58333333,1111,22.8,146,202
WV-665,39 20,39.33333333,78 45,-78.75,1600,27.9,153,204
IN-666,38 30,38.5,86 28,-86.46666667,620,37.8,143,212
NY-672,43 11,43.18333333,74 06,-74.1,820,30.4,144,213
NY-675,42 35,42.58333333,74 20,-74.33333333,640,30.9,140,207
IA-684,42 27,42.45,96 24,-96.4,900,25.8,142,211
WI-685,43 30,43.5,90 48,-90.8,736,34.7,146,209
WV-692,38 24,38.4,79 57,-79.95,1475,26.1,142,202
PA-695,40 47,40.78333333,77 40,-77.66666667,1200,35.4,147,212
PA-697,39 57,39.95,75 22,-75.36666667,200,34.2,147,220
NJ-699,39 48,39.8,74 46,-74.76666667,20,36.3,148,213
MI-702,42 24,42.4,84 24,-84.4,875,38.8,144,201
MI-705,42 02,42.03333333,85 58,-85.96666667,600,28.6,148,211
NY-707,42 26,42.43333333,78 55,-78.91666667,1110,28.4,144,204
QUE-719,46 40 ,46.66666667,71 50,-71.83333333,10,28,145,201
KY-725,37 27,37.45,84 01,-84.01666667,1020,39.5,146,219
OH-727,40 22,40.36666667,83 04,-83.06666667,940,24.4,148,215
ONT-731,42 40,42.66666667,80 22,-80.36666667,400,25.3,147,206
ONT-734,44 02,44.03333333,79 27,-79.45,750,33.3,142,200
IA-741,42 75,42.75,95 55,-95.55,650,37,146,212
IN-745,40 24,40.4,86 51,-86.85,650,25.5,144,216
IN-747,40 48,40.8,86 24,-86.4,700,27.6,146,216
MI-748,41 57,41.95,86 51,-86.85,650,26.1,148,203
ONT-813,45 50,45.83333333,76 54,-76.9,330,24.9,143,201
IL-814,37 40,37.66666667,89 16,-89.26666667,520,26.8,144,215
IL-815,37 90,37.9,89 81,-89.81,550,37.4,144,211
KY-817,37 00,37,89 00,-89,500,35.7,,223
WV-836,39 38,39.63333333,79 56,-79.93333333,1200,22,145,205
