ID1,ID2,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
VT-654,654,45.38333333,-74.28333333,30.48,-4.3,10.5,25,13,-13.7,-0.2,13.4,3.5,-9,5.2,19.2,8.2,210,201,256,236,5.8,17,20.7,8.5,827,129,0,41,5,320,1306,436,2422,1193,83,906,0,14,197,17,0,32,92,47,199,48,0,8,0,171,380,133,0,42,124,0,60,63,65,69,20.99,9.82,-3.83,10.9,5.9,20.5,-10.5,31,902,410,17.6,50.1,997,2067,4605,227,172,134,275,141,256,-36.5,37.1,13,684,166,64,37.87,1115
MN-658,658,47.6,-95.58333333,338.6328,-7.7,10.5,25.8,11.9,-19.4,-2.6,12.1,0.1,-13.5,3.9,19,6,49,122,264,128,5.3,18.1,18.9,7.5,1228,201,0,126,1,307,1285,362,2832,1307,91,1106,0,15,183,13,0,30,92,33,49,25,0,16,0,177,401,115,0,76,137,9,50,55,59,60,4.91,1.13,-7.71,0.02,3.8,20.2,-16.5,36.7,563,388,24.6,52.1,1555,1955,5336,210,156,139,265,126,90,-42.1,39.8,12.4,693,222,56,-1.64,1047
WV-665,665,40.33333333,-79.75,487.68,3.4,15.9,27.5,17.6,-6.2,3.3,14.6,5.6,-1.4,9.6,21,11.6,196,262,275,203,6.5,15.6,20.4,12.5,271,26,0,12,39,523,1474,657,1741,794,38,632,0,26,316,52,3,49,92,59,53,2,0,1,0,273,441,192,0,43,166,21,63,60,62,62,17.69,8.06,-9.4,-0.21,10.2,21.9,-2.7,24.7,935,444,21.6,49.4,309,2694,3205,394,203,124,284,159,56,-28.5,37.8,13.8,906,230,62,16.14,1513
IN-666,666,39.5,-87.46666667,188.976,3.5,17.5,29.7,19.3,-6.3,5.1,16.8,6.4,-1.4,11.3,23.3,12.9,189,292,290,211,5.7,16.3,21.3,14,274,19,0,10,43,656,1677,769,1742,669,14,557,0,54,492,91,3,60,92,61,48,1,0,1,0,290,470,214,0,37,180,47,62,61,63,60,17.03,9.66,-11.28,-1.92,11.5,24.3,-3.2,27.5,983,463,21.9,52.3,303,3145,2982,637,216,115,288,173,49,-28.6,40.4,14.3,975,264,62,13.49,1896
NY-672,672,44.18333333,-75.1,249.936,-2.3,11,24.7,13.7,-13.3,-0.9,12.4,3,-7.8,5.1,18.5,8.4,229,245,294,279,4.7,15.8,20.2,9.3,726,120,0,36,8,296,1246,438,2309,1202,105,893,0,11,157,16,1,31,92,43,207,49,0,8,0,179,389,146,0,21,95,0,55,59,63,65,22.9,13.59,-0.88,13.86,6,19.7,-9.1,28.8,1048,484,15.3,40.7,883,1989,4509,184,166,137,272,135,264,-36.2,36.3,12.5,713,116,61,49.46,1039
NY-675,675,43.58333333,-75.33333333,195.072,-1.5,11.4,25.2,14.2,-12,-0.2,12.5,3.6,-6.8,5.6,18.9,8.9,271,249,272,286,4.7,15.1,19.8,9.6,649,101,0,29,11,314,1278,472,2220,1155,92,845,0,11,178,21,1,32,92,46,228,42,0,6,0,182,401,152,0,28,128,0,57,61,62,65,27.06,13.66,-4.19,13.8,6.7,20.1,-8,28,1078,457,15.4,43.9,779,2075,4312,209,171,136,274,138,275,-34.8,36.7,12.3,734,156,61,50.33,1101
IA-684,684,43.45,-97.4,274.32,-1.2,15.1,29.9,16.8,-13,1.5,15.4,2.7,-7.1,8.3,22.6,9.8,39,162,222,123,5.7,18.3,22.5,11.9,684,68,0,41,10,507,1622,576,2256,920,21,786,0,36,443,45,1,42,92,48,34,10,0,3,0,263,471,181,0,101,249,57,52,56,59,55,3.88,-1.1,-20.75,-7.72,8.4,24.1,-9.7,33.8,546,359,33.7,67.2,792,2714,3983,523,182,123,276,153,47,-36.8,42.5,14.6,916,407,56,-25.68,1622
WI-685,685,44.66666667,-91.8,224.3328,-3.1,13.4,27.5,14.8,-14,0.6,14,2.9,-8.6,7,20.8,8.9,64,208,311,181,6.6,17.5,19.7,10.2,801,95,0,48,8,432,1449,508,2384,1032,44,854,0,25,298,28,0,34,92,49,60,20,0,6,0,202,429,155,0,39,119,0,55,58,61,62,6.43,6.34,-5.38,1.73,7,22.1,-11.2,33.3,764,493,22.3,44.9,944,2397,4315,351,175,131,275,145,86,-36.9,40,13.5,786,158,59,9.12,1361
WV-692,692,39.4,-80.95,449.58,5.9,17.9,28.1,19,-6.4,2.9,14.2,4.6,-0.3,10.4,21.1,11.8,235,291,320,225,5.2,14.9,21.2,12.3,211,19,0,11,51,566,1483,668,1640,730,36,620,0,28,322,56,3,45,92,52,41,1,0,1,24,307,462,215,24,44,142,25,55,53,60,56,20.35,7.49,-6.98,-0.75,10.8,21.9,-1.3,23.3,1071,504,19.4,43.5,240,2769,3027,406,192,127,279,152,42,-29,37.9,13.4,1008,235,56,20.11,1548
PA-695,695,41.78333333,-78.66666667,365.76,0,12.6,24.8,14.7,-10,-0.6,10.7,2.6,-5,6,17.8,8.6,250,285,316,267,5.6,15.6,19.9,10.7,515,77,0,29,16,307,1175,447,2062,1117,137,867,0,8,116,17,1,29,92,37,171,27,0,5,0,198,417,168,0,22,102,0,59,57,58,61,24.77,15.43,-1.1,10.64,6.8,18.7,-6.1,24.8,1118,513,15.1,36.5,622,1945,4183,141,159,142,269,128,204,-32.7,35.4,13,783,124,59,49.75,973
