"","df","AIC","adj.r2s"
"model.null",2,135.75539579913,0
"model.day",3,137.037496927005,-0.0121745968843363
"model.dd0wt",3,136.1495736302,0.0194194294155667
"model.dd0sp",3,135.797812339515,0.031661310450783
"model.dd5wt",3,136.557375195167,0.00503341187246786
"model.dd5sp",3,136.567335534125,0.00467941303892294
"model.mat",3,135.94903833689,0.0264172337522577
"model.mcmt",3,136.114241236755,0.0206560154212219
"model.mwmt",3,136.501174200947,0.00702848437905268
"model.map",3,137.730745293609,-0.0375477049970363
"model.td",3,136.925202660577,-0.00812339016394925
"model.bffp",3,136.475812385313,0.00792749004262905
