ID1,ID2,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
651,WI,43.033,-90.083,-9999,-1.9,13.4,26.9,15.2,-11.7,1.5,14.5,3.8,-6.8,7.4,20.7,9.5,94,229,308,194,6.2,16.7,20.8,11.9,654,74,0,36,12,436,1445,540,2226,992,45,799,0,24,294,33,1,37,92,55,80,15,0,4,0,200,419,163,0,35,111,0,60,61,63,63,9.45,8.61,-3.81,2.69,7.7,21.9,-9,30.9,826,483,21.5,45.4,763,2433,4062,350,185,128,279,151,99,-34.7,38.9,13.9,782,146,62,16.94,1376
652,WI,42.983,-91.1,-9999,-1.4,14.3,28.1,16.1,-11.6,2.2,15.3,4.2,-6.5,8.2,21.7,10.2,81,232,297,177,4.8,16.3,20,10.8,631,63,0,31,13,490,1533,587,2204,924,29,749,0,32,363,43,1,42,92,57,68,9,0,3,0,248,436,171,0,31,139,14,58,60,63,62,8.14,7.76,-7.33,-0.26,8.4,22.8,-8.9,31.7,787,471,23.4,48.4,725,2623,3906,438,191,124,281,157,79,-34.6,40.2,13,855,184,61,8.31,1528
654,VT,44.383,-73.283,-9999,-1.7,11.4,25.9,14.6,-11.7,0.7,14.2,4.4,-6.7,6.1,20,9.5,151,191,253,214,5.4,16.5,20.7,9.3,644,94,0,25,10,346,1384,512,2214,1114,60,797,0,14,252,25,1,33,92,55,126,25,0,3,0,177,395,147,0,44,142,0,59,64,65,67,15.12,8.02,-5.79,6.59,7.2,21.4,-8,29.4,809,402,21.3,53.3,763,2251,4186,291,181,130,278,148,155,-34.2,37.5,13,719,186,64,23.95,1249
656,WV,39.167,-79.683,-9999,4.7,16.7,27.1,18.1,-6.6,2.5,13.3,4.2,-0.9,9.6,20.2,11.2,284,330,379,261,6.2,15.3,20.8,12.1,242,24,0,13,44,515,1399,623,1697,795,53,661,0,22,261,44,3,41,92,50,63,2,0,1,23,294,450,209,23,25,71,9,58,55,60,57,25.86,13.01,0.45,3.95,10,21,-2,23,1253,587,16,35.8,280,2581,3206,327,186,129,278,148,66,-29.2,37,13.6,975,128,57,43.26,1407
657,IA,43.317,-91.333,-9999,-2.5,13.4,27,15.1,-12.6,1.6,14.8,3.6,-7.5,7.5,20.9,9.4,70,223,308,175,6.3,16.8,20.6,11.9,716,78,0,41,11,448,1464,537,2293,990,41,813,0,27,308,33,0,38,92,54,63,14,0,4,0,199,417,162,0,26,109,5,58,61,64,63,6.99,8.21,-3.79,0.76,7.6,22.1,-9.9,32,776,485,22.6,45.5,835,2460,4136,368,185,127,279,152,81,-35.7,39.3,13.9,777,140,61,12.18,1403
658,MN,45.96,-94.35,-9999,-5.2,11.9,27,13.6,-16.9,-1.2,13.1,1.5,-11.1,5.4,20.1,7.5,57,163,283,141,6.3,18.3,19.8,9.4,1004,147,0,78,4,361,1386,439,2609,1178,59,967,0,19,253,20,0,31,92,37,56,29,0,11,0,191,422,128,0,61,139,17,51,56,60,60,5.68,3.63,-8.18,-0.94,5.5,21.4,-13.8,35.3,644,424,24,50.6,1229,2190,4813,293,161,136,270,134,96,-39.7,40.2,13.5,741,217,57,0.19,1220
659,PA,41.533,-76.017,-9999,1.5,13.9,26.6,16.2,-8.2,1.7,13.5,4.3,-3.3,7.8,20,10.2,182,230,252,235,5.1,15,19.7,9.4,392,49,0,18,24,417,1381,557,1912,955,59,734,0,16,249,31,2,37,92,51,90,6,0,2,0,248,428,176,0,44,176,4,61,60,62,62,17.43,8.36,-9.26,5.6,8.7,21.1,-4.4,25.6,899,422,20.8,50.1,458,2379,3661,297,183,131,277,147,98,-30.6,37.2,12.3,852,224,61,22.14,1301
663,KY,38.167,-83.833,-9999,6.6,18.9,29.4,20,-4.1,6,16.9,7,1.2,12.5,23.2,13.5,260,310,322,226,6.9,17.2,22.6,14.2,148,11,0,7,77,729,1670,813,1503,571,15,509,0,60,485,102,5,61,92,62,23,0,0,0,86,311,466,224,26,47,142,40,61,60,64,60,21.91,8.9,-7.21,-1.46,12.6,24,0.1,23.9,1118,512,20.2,46.8,166,3289,2598,647,221,114,290,176,24,-26,39.3,15.2,1087,255,61,22.14,1957
664,KY,38.2,-83.3,-9999,7,19.1,29,20,-3.9,6,16.6,7.1,1.5,12.6,22.8,13.6,252,314,319,223,6.1,16.8,23.1,14,140,9,0,6,83,735,1639,812,1479,556,18,505,0,57,455,99,5,62,92,62,21,0,0,0,88,314,461,222,26,42,141,38,61,60,64,60,20.74,8.84,-6.88,-1.66,12.6,23.7,0.2,23.5,1109,509,20.4,46.6,156,3268,2558,610,221,115,290,174,21,-25.7,38.9,15,1085,247,61,21.03,1921
665,WV,39.333,-78.75,-9999,5.3,17.6,28.9,19,-5.8,3.7,14.5,5.2,-0.2,10.7,21.7,12.1,174,236,260,195,6.2,14.8,20.1,11.2,209,19,0,10,53,594,1534,691,1637,710,29,598,0,35,362,60,4,52,92,56,29,1,0,0,23,302,479,214,23,84,219,42,59,56,58,58,14.52,2.91,-14.88,-3.49,11.1,22.7,-1.4,24.1,865,412,24.3,55,238,2873,2975,457,204,125,282,157,30,-28.1,39,13.1,1017,368,58,-0.93,1637
666,IN,38.633,-86.467,-9999,5.8,18.7,30,20.2,-5.1,5.6,16.8,6.6,0.4,12.1,23.4,13.4,240,323,308,231,5.7,17.2,21.7,14.2,185,13,0,8,63,709,1691,807,1583,599,13,517,0,59,506,101,4,61,92,61,32,0,0,0,58,310,481,226,24,33,173,47,60,59,62,59,20.64,10.65,-10.68,-1.56,12.3,24.4,-1.2,25.5,1101,494,20.3,49.3,206,3270,2713,665,218,115,288,174,32,-27.2,40.3,14.7,1075,277,60,19.05,1963
667,IN,38.75,-86.583,-9999,5.7,18.8,30,20.2,-5,5.7,16.9,6.8,0.4,12.2,23.5,13.5,222,312,308,226,4.6,16.8,21.1,13.6,186,13,0,7,63,717,1697,814,1585,592,13,511,0,61,512,103,4,61,92,62,29,0,0,0,57,309,479,225,24,38,171,50,61,59,62,59,18.9,9.45,-10.51,-1.96,12.4,24.4,-1.2,25.7,1068,491,21,49.8,206,3291,2701,675,219,114,289,175,29,-27.1,40.3,14,1070,283,60,15.88,1982
672,NY,43.183,-74.1,-9999,-0.7,12.3,25.6,14.5,-11.5,-0.2,12.3,3.1,-6.1,6,18.9,8.8,252,276,264,282,5.7,16.4,20.7,10,598,87,0,30,12,333,1283,462,2160,1115,90,856,0,12,181,19,1,31,92,42,201,34,0,6,0,192,412,157,0,29,148,0,56,58,61,63,25.14,14.91,-6.6,12.74,6.9,20.1,-7.4,27.6,1073,453,15.8,44.4,715,2091,4221,212,166,137,272,135,241,-34.4,36.8,13.2,761,177,59,46.19,1109
675,NY,42.583,-74.333,-9999,0.3,12.8,26.2,15.4,-10.1,0.6,12.9,3.8,-4.9,6.7,19.6,9.6,177,220,231,227,5.7,16.1,20.6,9.6,506,72,0,22,17,363,1341,513,2051,1056,71,787,0,14,220,25,1,33,92,48,119,17,0,3,0,196,422,166,0,45,191,8,58,60,61,63,17.49,8.87,-10.85,5.86,7.7,20.8,-6.2,26.9,855,388,20.7,53.6,600,2234,3966,259,174,134,275,141,139,-32.8,37.2,13,784,244,60,21.36,1209
684,IA,42.45,-96.4,-9999,-0.3,15.6,29.4,17.2,-11.7,2.5,16.2,3.7,-6,9,22.8,10.5,52,191,260,135,6.3,18.5,22.9,12.7,590,53,0,30,14,545,1634,611,2157,857,18,730,0,41,449,49,1,46,92,55,40,6,0,2,0,267,457,185,0,75,196,50,54,58,62,57,5.05,1.2,-14.49,-6.63,9.1,24,-8.7,32.7,638,416,29.9,57.8,674,2803,3762,540,193,119,280,160,49,-35.3,41.3,15.1,909,321,58,-14.87,1680
