"","df","AIC","r2s"
"glm.null",1,2659.44559139581,0
"glm.day",2,1358.30528047491,0.490373279942274
"glm.tmaxat",2,1444.26637174828,0.458026017009897
"glm.dd0at",2,1623.32660368314,0.390645434500654
"glm.dd0wt",2,1422.77594768479,0.466112889656724
"glm.mat",2,1448.13392062308,0.456570653676279
"glm.mcmt",2,1408.59096817318,0.471450714655864
"glm.mwmt",2,1796.17026925406,0.325604153455976
"glm.td",2,1996.25628962494,0.250311541250213
"glm.map",2,2102.11543391433,0.210476616828
"glm.effp",2,1775.06282024641,0.333546912124671
"glm.cmd",2,1990.57940141568,0.252447761170438
