"","df","AIC","adj.r2s"
"model.null",2,87.1926581278333,0
"model.day2",4,74.8343443971002,0.506725789387261
"model.dd0wt2",4,74.201203780046,0.522096802303587
"model.dd0sp",3,83.7059510990667,0.197696352692206
"model.dd5wt",3,72.2456514913763,0.547642784074331
"model.dd5sp",3,76.4039087961584,0.4431003658425
"model.mat",3,79.1528110631321,0.361047480639054
"model.mcmt2",4,72.2022391003208,0.567552919043122
"model.mwmt",3,87.0920441079066,0.0496866243964885
"model.td",3,84.0376290937028,0.287856283094612
"model.map",3,81.3218029353712,0.184280089956174
"model.bffp",3,80.6067049593885,0.312869079946438
