ID1,ID2,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
2503,Minn.,44.3,-94.5,304.8,-2.7,13.3,28.5,15.5,-13.5,1,15.2,2.8,-8.1,7.2,21.9,9.2,61,188,285,149,-9999,-9999,-9999,-9999,759,94,0,57,8,444,1550,548,2342,1020,29,837,0,28,379,38,0,35,92,49,57,18,0,7,0,201,441,166,0,55,156,33,55,59,61,59,6.1,4.43,-10.31,-3.21,7.5,23.2,-9.9,33.1,683,448,25.7,51.9,911,2550,4228,445,176,127,276,149,82,-36.4,41,-9999,808,244,59,-3,1506
1803,Iowa,42.3,-91.2,274.32,-0.3,14.3,28.3,16.5,-10.3,2.3,15.5,4.1,-5.3,8.3,21.9,10.3,99,221,301,203,-9999,-9999,-9999,-9999,538,57,0,32,16,479,1553,598,2090,919,27,742,0,28,380,46,1,42,92,56,72,7,0,3,0,249,440,179,0,40,139,7,59,61,63,60,9.77,6.82,-7.41,1.44,8.8,23.1,-6.8,29.9,824,485,22.8,47.7,626,2646,3779,454,191,124,280,157,83,-33.2,40,-9999,868,186,61,10.62,1551
1602,Ill.,41.5,-90.4,182.88,1.6,15.5,29.2,17.8,-7.7,4.1,17.4,6.1,-3.1,9.8,23.3,12,115,236,289,193,-9999,-9999,-9999,-9999,373,35,0,18,26,566,1681,712,1890,791,15,624,0,40,496,75,2,56,92,61,53,2,0,1,0,258,442,187,0,33,153,21,63,63,66,63,10.66,7.09,-8.93,-0.55,10.5,24.4,-4.3,28.7,833,463,24.6,52.8,427,2985,3319,611,211,115,289,175,56,-30.3,40.5,-9999,886,207,64,8.27,1813
1903,Kan.,39.1,-94.9,274.32,5.6,18.4,31.5,20.5,-5.1,6.1,19.1,7.7,0.2,12.3,25.3,14.1,103,262,328,222,-9999,-9999,-9999,-9999,190,14,0,8,58,727,1864,871,1596,597,6,484,0,69,677,129,4,61,92,62,14,0,0,0,55,296,485,222,23,34,157,14,61,62,65,61,7.05,5.66,-11.23,-2.54,13,26.5,-1.2,27.7,915,546,25.1,48.6,213,3521,2683,876,218,109,295,186,14,-27.2,42.5,-9999,1059,228,62,-1.05,2222
2703,Mo.,37.9,-93.9,274.32,8,19.7,32,21.8,-3.6,6.8,18.9,8.1,2.2,13.2,25.5,14.9,142,292,301,242,-9999,-9999,-9999,-9999,118,9,0,5,95,795,1882,935,1419,518,6,425,0,79,694,149,6,62,92,63,8,0,0,0,95,319,505,242,28,25,204,24,59,60,63,59,8.9,6.28,-16.25,-3.31,14,26.4,0.9,25.5,978,525,24.5,50.3,133,3707,2369,923,222,108,296,188,8,-25.4,42.5,-9999,1161,281,60,-4.39,2328
2405,Mich.,42.5,-83.8,243.84,0.9,13.2,27.5,16,-7.2,2,14.9,5.3,-3.2,7.6,21.2,10.7,143,212,226,182,-9999,-9999,-9999,-9999,380,58,0,21,22,418,1491,603,1900,974,36,705,0,18,330,43,3,38,92,59,70,8,0,2,0,234,429,167,0,38,203,24,67,63,63,66,13.53,7.65,-13.08,0.81,9.1,22.4,-3.8,26.2,762,375,25,59.7,459,2535,3616,391,193,125,283,158,80,-29.4,38.3,-9999,830,265,65,8.91,1457
2403,Mich.,42,-85.8,243.84,1.6,14.5,28.5,17.1,-6.7,2.7,15.4,5.4,-2.6,8.6,21.9,11.3,158,252,277,226,-9999,-9999,-9999,-9999,338,44,0,18,27,475,1557,646,1845,889,26,666,0,24,382,54,3,43,92,60,64,4,0,1,0,252,449,182,0,25,172,16,67,62,62,63,14.71,9.69,-10.68,3.16,9.8,23,-3.3,26.3,913,458,21.7,50.2,400,2706,3426,460,198,123,284,161,70,-28.9,39.3,-9999,882,213,63,16.89,1583
1702,Ind.,39.8,-87,213.36,4.2,16.9,30.1,19.2,-5.4,4.5,16.7,6.2,-0.6,10.7,23.4,12.7,187,283,285,234,-9999,-9999,-9999,-9999,226,22,0,12,47,611,1694,758,1673,714,13,571,0,43,509,87,4,57,92,61,36,1,0,1,0,283,479,212,0,24,194,24,64,61,62,60,16.34,9.56,-13.43,0.58,11.6,24.4,-1.4,25.8,989,482,21.8,50.7,261,3110,2970,639,214,115,289,174,38,-27.7,40.5,-9999,973,242,62,13.05,1880
1704,Ind.,39,-86.1,243.84,6.1,18.3,30.4,20.2,-4.2,5.4,16.9,6.8,1,11.8,23.7,13.5,247,307,288,230,-9999,-9999,-9999,-9999,157,14,0,9,69,684,1718,815,1530,622,12,516,0,55,532,103,6,60,92,62,25,0,0,0,80,302,487,224,23,37,200,46,63,60,61,59,21.03,9.75,-14.1,-1.76,12.5,24.6,0.3,24.4,1072,470,21,52.4,180,3285,2680,689,219,113,290,177,26,-26.2,40.4,-9999,1094,306,61,14.92,1990
1708,Ind.,38.2,-86.6,243.84,7.3,19.2,30.6,20.8,-3.4,5.8,17,7,2,12.5,23.8,13.9,285,331,300,234,-9999,-9999,-9999,-9999,124,10,0,7,89,733,1730,842,1441,565,11,484,0,60,544,108,7,61,92,62,19,0,0,0,89,318,494,234,26,42,195,52,62,59,61,58,23.71,10.49,-13.49,-2.47,13,24.7,1.1,23.6,1149,479,20.1,51.5,140,3394,2501,712,222,113,291,178,20,-25.3,40.3,-9999,1135,315,60,18.24,2045
