"","ProvNum","Provenance.Number","LatitudeDegree","LatitudeDecimal","LongitudeDegree","LongitudeDecimal","Elevation_ft","X1985MeanHt_ft","BudBurst_JD","BudSet_JD","ID2","Latitude","Longitude","Elevation","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","MAR","Eref","CMD","RH","CMI","DD1040","daylength_diff"
"1",654,"VT-654","44 23",44.38333333,"73 17",-73.28333333,100,34.9,145,210,"VT",44.383,-73.283,-9999,-1.7,11.4,25.9,14.6,-11.7,0.7,14.2,4.4,-6.7,6.1,20,9.5,151,191,253,214,5.4,16.5,20.7,9.3,644,94,0,25,10,346,1384,512,2214,1114,60,797,0,14,252,25,1,33,92,55,126,25,0,3,0,177,395,147,0,44,142,0,59,64,65,67,15.12,8.02,-5.79,6.59,7.2,21.4,-8,29.4,809,402,21.3,53.3,763,2251,4186,291,181,130,278,148,155,-34.2,37.5,13,719,186,64,23.95,1249,6.69465129171431
"2",658,"MN-658","45 96",46.6,"94 35",-94.58333333,1111,22.8,146,202,"MN",45.96,-94.35,-9999,-5.2,11.9,27,13.6,-16.9,-1.2,13.1,1.5,-11.1,5.4,20.1,7.5,57,163,283,141,6.3,18.3,19.8,9.4,1004,147,0,78,4,361,1386,439,2609,1178,59,967,0,19,253,20,0,31,92,37,56,29,0,11,0,191,422,128,0,61,139,17,51,56,60,60,5.68,3.63,-8.18,-0.94,5.5,21.4,-13.8,35.3,644,424,24,50.6,1229,2190,4813,293,161,136,270,134,96,-39.7,40.2,13.5,741,217,57,0.19,1220,7.10262712856215
"3",665,"WV-665","39 20",39.33333333,"78 45",-78.75,1600,27.9,153,204,"WV",39.333,-78.75,-9999,5.3,17.6,28.9,19,-5.8,3.7,14.5,5.2,-0.2,10.7,21.7,12.1,174,236,260,195,6.2,14.8,20.1,11.2,209,19,0,10,53,594,1534,691,1637,710,29,598,0,35,362,60,4,52,92,56,29,1,0,0,23,302,479,214,23,84,219,42,59,56,58,58,14.52,2.91,-14.88,-3.49,11.1,22.7,-1.4,24.1,865,412,24.3,55,238,2873,2975,457,204,125,282,157,30,-28.1,39,13.1,1017,368,58,-0.93,1637,5.54857673518948
"4",666,"IN-666","38 30",38.5,"86 28",-86.46666667,620,37.8,143,212,"IN",38.633,-86.467,-9999,5.8,18.7,30,20.2,-5.1,5.6,16.8,6.6,0.4,12.1,23.4,13.4,240,323,308,231,5.7,17.2,21.7,14.2,185,13,0,8,63,709,1691,807,1583,599,13,517,0,59,506,101,4,61,92,61,32,0,0,0,58,310,481,226,24,33,173,47,60,59,62,59,20.64,10.65,-10.68,-1.56,12.3,24.4,-1.2,25.5,1101,494,20.3,49.3,206,3270,2713,665,218,115,288,174,32,-27.2,40.3,14.7,1075,277,60,19.05,1963,5.40552882030001
"5",672,"NY-672","43 11",43.18333333,"74 06",-74.1,820,30.4,144,213,"NY",43.183,-74.1,-9999,-0.7,12.3,25.6,14.5,-11.5,-0.2,12.3,3.1,-6.1,6,18.9,8.8,252,276,264,282,5.7,16.4,20.7,10,598,87,0,30,12,333,1283,462,2160,1115,90,856,0,12,181,19,1,31,92,42,201,34,0,6,0,192,412,157,0,29,148,0,56,58,61,63,25.14,14.91,-6.6,12.74,6.9,20.1,-7.4,27.6,1073,453,15.8,44.4,715,2091,4221,212,166,137,272,135,241,-34.4,36.8,13.2,761,177,59,46.19,1109,6.40187855317475
"6",675,"NY-675","42 35",42.58333333,"74 20",-74.33333333,640,30.9,140,207,"NY",42.583,-74.333,-9999,0.3,12.8,26.2,15.4,-10.1,0.6,12.9,3.8,-4.9,6.7,19.6,9.6,177,220,231,227,5.7,16.1,20.6,9.6,506,72,0,22,17,363,1341,513,2051,1056,71,787,0,14,220,25,1,33,92,48,119,17,0,3,0,196,422,166,0,45,191,8,58,60,61,63,17.49,8.87,-10.85,5.86,7.7,20.8,-6.2,26.9,855,388,20.7,53.6,600,2234,3966,259,174,134,275,141,139,-32.8,37.2,13,784,244,60,21.36,1209,6.26069246917932
"7",684,"IA-684","42 27",42.45,"96 24",-96.4,900,25.8,142,211,"IA",42.45,-96.4,-9999,-0.3,15.6,29.4,17.2,-11.7,2.5,16.2,3.7,-6,9,22.8,10.5,52,191,260,135,6.3,18.5,22.9,12.7,590,53,0,30,14,545,1634,611,2157,857,18,730,0,41,449,49,1,46,92,55,40,6,0,2,0,267,457,185,0,75,196,50,54,58,62,57,5.05,1.2,-14.49,-6.63,9.1,24,-8.7,32.7,638,416,29.9,57.8,674,2803,3762,540,193,119,280,160,49,-35.3,41.3,15.1,909,321,58,-14.87,1680,6.22984103625488
"8",685,"WI-685","43 30",43.5,"90 48",-90.8,736,34.7,146,209,"WI",43.5,-90.8,-9999,-2.5,13.1,27.1,14.9,-12.6,1.2,14.4,3.5,-7.5,7.2,20.8,9.2,76,225,297,184,6.1,16.4,20.2,11.3,716,83,0,42,11,428,1452,524,2293,1017,43,826,0,24,299,30,0,36,92,54,68,17,0,5,0,197,422,160,0,27,125,0,58,60,63,63,7.62,8.68,-5.65,1.93,7.4,22,-9.8,31.8,782,480,22.3,45.8,841,2415,4178,353,182,128,278,150,90,-35.5,39.3,13.5,778,152,61,12.58,1371,6.4778370587396
"9",692,"WV-692","38 24",38.4,"79 57",-79.95,1475,26.1,142,202,"WV",38.4,-79.95,-9999,3.2,14.3,24.4,15.5,-8.5,0.6,11.4,2.6,-2.7,7.5,17.9,9,302,306,332,261,8.8,17.5,23,14.9,347,44,0,26,31,376,1189,473,1855,985,130,834,0,10,123,20,2,32,92,36,124,8,0,4,0,268,414,190,0,36,81,5,55,56,61,58,28.85,14.39,0.1,7.86,7.9,18.8,-3.9,22.7,1202,510,14.9,36.8,417,2069,3804,153,162,139,270,132,136,-31.9,34.6,16,872,122,58,51.2,1029,5.3586432186341
"10",695,"PA-695","40 47",40.78333333,"77 40",-77.66666667,1200,35.4,147,212,"PA",40.783,-77.667,-9999,1.7,14.4,26.8,16.3,-7.8,1.9,13.2,4.3,-3.1,8.1,20,10.3,210,268,285,245,6,15,19.4,10.7,373,45,0,18,27,437,1380,563,1889,926,59,731,0,18,247,33,2,38,92,52,98,6,0,2,0,258,439,182,0,33,155,5,62,59,60,62,20.13,11.19,-7.45,6.01,8.8,21,-4.1,25.1,1008,469,18.7,44.9,435,2406,3604,298,184,131,278,147,106,-30.3,37.2,12.8,879,193,61,29.89,1315,5.85599306419206
