"","df","AIC","r2s"
"col.null",2,156.499102955671,0
"col.dd0wt",3,144.297887401204,0.385379474489624
"col.dd0at",3,143.178731324358,0.410334857552698
"col.day",3,144.24347799978,0.386616787928487
"col.tmaxat",3,145.189160779573,0.364752192499236
"col.mat",3,145.645993182913,0.353912534944276
"col.mwmt",3,151.565609076612,0.195533019133343
"col.mcmt",3,143.998135801695,0.392165199963005
"col.map",3,146.292346526592,0.338259224027728
"col.td",3,148.341488614698,0.286082040140077
"col.cmd",3,151.247645930491,0.204951189423402
"col.effp",3,150.409912964426,0.229240522750585
