"","df","AIC","r2s"
"cd.null",2,144.318597763737,0
"cd.day2",4,116.45637810723,0.628886645530467
"cd.dd0at",3,118.312839435004,0.631394972841119
"cd.dd0wt",3,118.495949923119,0.553831834892719
"cd.tmaxat2",4,123.559548835732,0.566974691923816
"cd.mat2",4,123.716111573727,0.564456448632303
"cd.mcmt2",4,118.006189267358,0.147403803097665
"cd.mwmt",3,140.953969156865,0.647476886437234
"cd.map2",4,129.090617451115,0.468527972168595
"cd.td",3,122.624563555645,0.567570559541725
"cd.cmd",3,139.716871422419,0.185586999362397
"cd.effp",3,135.925239327318,0.292288311739153
