"","df","AIC","r2s"
"death.null",2,178.817670246459,0
"death.dd0wt",3,161.462499353818,0.492184693836442
"death.dd0at",3,159.307714834582,0.531136830280303
"death.day",3,162.295995128255,0.476263851140739
"death.tmaxat",3,164.050697252897,0.441096408442165
"death.mat",3,164.644110956086,0.428676683659028
"death.mcmt",3,161.199467189686,0.205999600231178
"death.mwmt",3,173.530585506625,0.497107776914353
"death.td",3,165.900365768354,0.440579425638149
"death.map",3,164.075660563408,0.401466058887215
"death.cmd",3,172.293207252793,0.241566485884034
"death.effp",3,170.923435803399,0.279083827721723
