"","df","AIC","r2s"
"drop.null",2,176.92648792148,0
"drop.dd0wt",3,162.498325954645,0.492184693836442
"drop.dd0at",3,156.7794343809,0.531136830280303
"drop.day2",4,156.081730341858,0.476263851140739
"drop.tmaxat",3,161.987080461202,0.441096408442165
"drop.mat",3,162.549653616091,0.428676683659028
"drop.mcmt",3,163.483400395708,0.205999600231178
"drop.mwmt",3,167.916486276066,0.497107776914353
"drop.td",3,170.410920707801,0.440579425638149
"drop.map",3,168.714792795951,0.401466058887215
"drop.cmd",3,168.824219793177,0.241566485884034
"drop.effp",3,167.605347518409,0.279083827721723
