"","df","AIC","r2s"
"model.null",2,104.194131163696,0
"model.day2",4,96.4558037313531,0.307946852158234
"model.dd0wt",3,98.5631791487316,0.354230412282593
"model.dd0sp",3,101.049656622392,0.145332189194418
"model.dd5wt",3,105.631359087893,-0.0193619727648655
"model.dd5sp",3,105.458767078444,-0.0126177003201122
"model.mwmt",3,105.721082644944,-0.0228857718067723
"model.mcmt2",4,92.9915876622794,0.394276460622456
"model.td2",4,92.027447751426,0.416326721259035
"model.mat2",4,100.334550709716,0.196605937044839
"model.map",3,103.192583921232,0.0719058811738927
"model.bffp",3,105.249107359256,-0.00448495254787495
