"","Provenance","Elevation_min_m","Elevation_max_m","LeafBudsOpen50Percent_Days","Leaf_Color_Days","Leaf_Death_days","Leaf_Drop_days","Percent_RetainingMoreThan25PercentLeaves","Days_betweenLeafFlushAndFallColor","State.Prov.","Elevation.m","Yr.Planted","Latitude","Longitude","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","MAR","Eref","CMD","RH","CMI","DD1040","Leaf_Color_Days_Date","Leaf_Death_Days_Date","Leaf_Drop_Days_Date","LeafBudsOpen50Percent_Days_Date","Leaf_Color_Days_JD","Leaf_Death_Days_JD","Leaf_Drop_Days_JD","LeafBudsOpen50Percent_Days_JD","LeafBudsOpen50Percent_Days_JD_adj","Leaf_Color_Days_JD_adj","Leaf_Death_Days_JD_adj","Leaf_Drop_Days_JD_adj","Days_betweenLeafFlushAndFallColor_adjV2","daylength_diff"
"1",1,282,414,6.5,29.5,47.4,51.5,0,174,"TE",303,1962,36.2,-84.2,10.4,21.5,31.2,22.4,-1.2,6.9,17.5,7.8,4.6,14.2,24.4,15.1,382,326,310,233,-9999,-9999,-9999,-9999,62,6,0,4,170,865,1779,945,1204,440,9,408,0,87,592,147,11,65,92,64,7,0,0,0,114,358,510,262,33,87,200,77,61,56,61,56,29.98,5.01,-14.11,-6.08,14.6,25.1,4.2,20.9,1251,478,19.6,52.6,72,3759,2060,826,232,109,294,186,7,-22.4,39.9,-9999,1244,397,59,14.8,2279,1975-10-22,1975-11-09,1975-11-13,1975-05-01,295.5,313.4,317.5,121.5,121.5,295.5,313.4,317.5,174,4.93257833554228
"2",2,274,274,2.5,17.4,29.4,43.2,55,166,"MN",274,1962,44.8,-93.6,-3.2,12.7,27.9,14.5,-13.7,0.8,15.2,3.1,-8.4,6.8,21.5,8.8,59,182,287,147,-9999,-9999,-9999,-9999,786,103,0,62,7,422,1521,525,2373,1055,33,865,0,25,356,34,0,35,92,52,55,19,0,9,0,193,424,153,0,48,137,24,57,60,63,63,5.89,4.86,-7.83,-1.44,7.2,22.9,-10.2,33.1,675,449,25.4,51,952,2474,4325,415,179,127,277,150,84,-36.6,40.4,-9999,770,209,61,1.47,1450,1975-10-10,1975-10-22,1975-11-05,1975-04-27,283.4,295.4,309.2,117.5,117.5,283.4,295.4,309.2,166,6.79984516816666
"3",3,49,55,5.7,17.3,31.2,39.5,11,162.6,"ME",52,1962,44.8,-68.5,-1.1,11.5,25.2,14.1,-12.6,-1,11.8,2.4,-6.9,5.2,18.5,8.2,249,241,241,298,-9999,-9999,-9999,-9999,658,104,0,36,6,282,1247,426,2229,1187,110,902,0,8,163,13,1,29,92,38,214,42,0,9,0,181,403,148,0,36,162,0,53,58,60,62,24.88,12.9,-7.57,15.37,6.3,20,-7.8,27.8,1029,418,15.8,47.9,797,1961,4428,185,160,141,270,128,266,-35.7,36.9,-9999,732,198,58,45.57,1026,1975-10-10,1975-10-24,1975-11-01,1975-04-30,283.3,297.2,305.5,120.7,120.7,283.3,297.2,305.5,162.6,6.79984516816666
"4",6,91,91,6.7,19.3,34.4,41.1,5,163.6,"ME",90,1962,43.5,-70.6,1.2,13,26.6,15.9,-10.1,0.2,12.7,3.5,-4.5,6.6,19.7,9.7,304,307,256,318,-9999,-9999,-9999,-9999,474,66,0,22,15,347,1351,524,2015,1062,71,775,0,12,230,26,1,32,92,46,195,21,0,4,0,237,428,167,0,25,173,0,55,58,59,60,30.08,17.5,-9.14,14.25,7.9,21,-5.5,26.5,1185,453,15.1,46.5,563,2236,3924,267,171,136,274,138,220,-33.1,37.8,-9999,833,198,58,52.69,1219,1975-10-12,1975-10-27,1975-11-03,1975-05-01,285.3,300.4,307.1,121.7,121.7,285.3,300.4,307.1,163.6,6.4778370587396
"5",7,229,277,7.7,28.7,43.3,50,0,172,"IN",244,1962,38.5,-86.5,7,18.9,30.7,20.7,-3.8,5.6,17,6.8,1.6,12.2,23.9,13.7,270,330,296,236,-9999,-9999,-9999,-9999,133,12,0,8,81,710,1735,834,1470,591,11,497,0,57,549,108,7,60,92,62,20,0,0,0,87,312,496,233,25,38,200,50,61,59,61,58,22.52,10.92,-14.33,-2.2,12.9,24.8,1,23.8,1131,482,20.2,51.4,152,3360,2569,714,220,113,291,178,21,-25.7,40.5,-9999,1128,313,60,16.91,2035,1975-10-21,1975-11-05,1975-11-12,1975-05-02,294.7,309.3,316,122.7,122.7,294.7,309.3,316,172,5.37872211505213
"6",8,253,265,13.7,20.3,36.8,43.4,5,157.5,"MI LP",259,1964,42.3,-85.3,1.3,14.2,28.3,16.6,-7.1,2.2,15.1,5.3,-2.9,8.2,21.7,11,148,248,260,227,-9999,-9999,-9999,-9999,360,49,0,19,24,453,1538,624,1874,922,29,686,0,22,367,48,3,40,92,59,66,6,0,2,0,248,445,175,0,26,186,10,67,61,62,64,13.87,9.72,-12,4.05,9.5,22.8,-3.6,26.4,881,442,22.1,51.6,429,2639,3511,437,194,124,283,159,73,-29.2,39.1,-9999,868,222,63,15.63,1536,1975-10-13,1975-10-29,1975-11-05,1975-05-08,286.3,302.8,309.4,128.7,122.85619047619,287.54380952381,299.516190476191,306.518095238095,164.621904761905,6.19523525819445
"7",9,299,329,6.4,18.4,33.4,42.2,29,163.1,"IA",314,1963,41.7,-91.4,0.6,14.9,28.7,17.2,-9.2,3.1,16.3,4.9,-4.3,9,22.5,11,100,236,305,202,-9999,-9999,-9999,-9999,461,45,0,25,20,520,1606,648,1999,855,21,688,0,33,422,57,1,48,92,60,61,4,0,2,0,255,443,185,0,31,138,11,60,61,64,61,9.55,7.39,-7.61,0.52,9.6,23.7,-5.8,29.5,843,489,23.2,48.5,531,2794,3563,512,201,119,284,165,67,-32.1,40.2,-9999,884,180,62,9.85,1658,1975-10-11,1975-10-26,1975-11-04,1975-05-01,284.4,299.4,308.2,121.4,122.013333333333,284.086666666667,298.973333333334,306.346666666666,162.173333333333,6.05876942159851
"8",10,372,402,6.7,22.4,41.7,47.1,2,166.7,"MO",387,1963,37.7,-91.5,7.9,19.3,31.2,21.2,-3.4,6.4,17.9,7.6,2.3,12.9,24.6,14.4,185,313,279,252,-9999,-9999,-9999,-9999,115,10,0,6,95,763,1798,887,1414,540,8,453,0,67,612,125,6,62,92,62,10,0,0,0,95,316,499,239,28,19,221,30,60,60,62,58,13.18,8.59,-17.24,-1.63,13.5,25.4,1.3,24.1,1029,495,22.9,51.3,131,3543,2416,804,222,110,294,184,10,-25.3,41.2,-9999,1150,298,60,2.9,2177,1975-10-15,1975-11-03,1975-11-09,1975-05-01,288.4,307.7,313.1,121.7,122.313333333333,288.086666666667,307.273333333333,311.246666666667,165.773333333333,5.21988849689181
"9",11,137,171,5.5,20,38.8,46.1,2,165.5,"IL",165,1962,37.5,-88.4,8.7,20.2,31.3,21.8,-2,7.5,18.4,8.3,3.3,13.9,24.9,15.1,287,330,272,243,-9999,-9999,-9999,-9999,88,7,0,4,127,842,1824,940,1317,466,7,409,0,85,637,143,8,65,92,66,11,0,0,0,98,325,494,244,28,40,223,53,63,61,63,59,22.55,9.25,-16.3,-2.98,14.3,25.7,2.1,23.5,1132,459,21.5,56,99,3733,2199,865,232,107,297,190,11,-23.5,41,-9999,1162,344,62,12.52,2299,1975-10-13,1975-10-31,1975-11-08,1975-04-30,286,304.8,312.1,120.5,120.5,286,304.8,312.1,165.5,5.18080812359818
"10",12,381,411,4.9,22.1,34.7,44.8,51,168.5,"WI",396,1963,43.6,-90.8,-2.2,12.7,27.3,14.9,-11.5,1.3,15,3.7,-6.8,7,21.2,9.3,81,213,307,197,-9999,-9999,-9999,-9999,656,89,0,46,11,416,1485,540,2228,1035,37,820,0,22,326,34,1,36,92,56,70,18,0,7,0,191,418,159,0,25,110,0,61,62,64,64,8.14,8.17,-4.71,3.12,7.6,22.3,-8.2,30.5,800,496,22.1,45,790,2452,4121,382,184,126,279,153,95,-34.4,39.2,-9999,768,135,63,14.72,1416,1975-10-15,1975-10-27,1975-11-06,1975-04-29,288.1,300.7,310.8,119.9,120.513333333333,287.786666666667,300.273333333333,308.946666666667,167.573333333333,6.50200014598962
