"","df","AIC","r2s"
"glm.null",1,1444.02599474297,0
"glm.mat",2,455.643523320746,0.313200680824931
"glm.day",2,538.424105089439,0.629393570547459
"glm.dd0at",2,558.161310429781,0.615706434939436
"glm.dd0wt",2,511.985683709445,0.64772779023308
"glm.tmaxat",2,472.273656050148,0.675266841404191
"glm.mwmt",2,742.087690276,0.4881592336291
"glm.mcmt",2,470.396559755722,0.676568549071923
"glm.effp",2,506.069402721811,0.651830546361751
"glm.cmd",2,955.086305722082,0.340451344712681
"glm.map",2,896.40565130298,0.381144546245127
"glm.td",2,644.17913531052,0.556055759296747
