"","df","AIC","r2s"
"model.null",9,397.665124675292,0
"model.day",10,378.263538250719,0.0563696400686697
"model.dd0wt",10,366.161694771021,0.0882446865061016
"model.dd0sp",10,367.404263190388,0.084971885454306
"model.dd5sp",10,388.632689641887,0.0290583314515402
"model.dd5wt",10,392.122802423163,0.019865723138461
"model.mcmt",10,373.015957508258,0.070191243374871
"model.mwmt",10,391.144624859224,0.0224421450965634
"model.mat",10,380.071147546035,0.0516085778118675
"model.td",10,369.044911623316,0.0806505814253132
"model.map",10,384.958181040136,0.0387366199298228
"model.bffp",10,386.362214246973,0.0350385367623541
