StandNumber,StateOrProvince,SeedlotGroup,Latitude_N_degrees,Longitude_W_degrees,Elevation_m,NumberOfSites,RelativeHeight_PercentageOfMean,FallColor,StemForm
165,NFLD,Northern,48.3,54.2,46,5,81,6,6
167,N BRUNS,Northern,46.0,66.4,61,5,85,5,5
166,QUE,Northern,46.6,71.4,91,5,83,6,5
156,ONT,Northern,47.3,79.8,274,2,84,6,6
153,ONT,Northern,46.0,77.4,152,5,89,5,5
163,ME,Northern,44.4,70.8,225,5,108,5,5
152,ME,Northern,43.4,70.7,79,4,110,6,6
161,VT,Northern,44.5,72.4,518,2,91,6,7
157,MN,Northern,48.0,91.6,397,5,73,6,5
159,MN,Northern,47.4,94.2,396,4,83,6,6
162,MI,Northern,46.7,89.8,225,6,86,5,5
144,RI,North Central,41.7,71.7,61,2,101,6,5
146,CT,North Central,41.7,72.3,244,3,124,5,6
151,NH,North Central,43.1,71.1,76,5,123,5,6
160,NY,North Central,42.7,76.0,558,5,97,5,5
149,PA,North Central,41.9,78.8,658,4,124,5,6
164,ONT,North Central,44.2,80.0,219,5,114,5,6
137,MI,North Central,42.7,84.5,265,4,120,5,5
141,MI,North Central,42.4,85.3,274,5,127,4,6
145,WI,North Central,45.6,89.8,488,5,107,5,6
155,WI,North Central,45.6,89.8,488,6,101,6,6
139,MN,North Central,44.9,93.6,290,5,109,5,6
142,PA,West Central,40.7,77.9,518,3,93,5,5
143,PA,West Central,40.7,77.9,305,2,104,5,5
154,PA,West Central,40.0,77.5,427,1,112,5,6
135,WV,West Central,39.1,79.7,671,3,81,4,6
134,OH,West Central,40.6,82.2,305,6,100,5,5
128,OH,West Central,39.4,82.5,274,6,88,5,4
133,IN,West Central,39.0,86.3,229,2,89,5,5
138,NJ,East Central,40.5,74.5,290,1,109,5,5
127,DE,East Central,39.7,78.5,213,1,127,5,5
122,VA,East Central,37.9,76.8,6,5,128,3,4
119,VA,East Central,38.0,78.5,165,3,118,4,4
140,WV,East Central,38.2,80.4,1067,1,124,6,7
158,VA,East Central,36.9,82.5,853,2,96,4,4
117,KY,East Central,37.6,84.9,274,3,141,5,6
123,TN,East Central,36.1,82.7,610,2,83,4,4
136,TN,East Central,36.0,85.0,559,3,106,5,5
118,TN,East Central,35.3,84.5,337,3,133,3,4
113,NC,Southern,35.7,78.5,132,1,75,4,4
116,NC,Southern,35.7,82.8,549,2,82,4,5
124,NC,Southern,35.1,84.1,507,4,75,5,4
121,NC,Southern,35.0,84.0,1067,1,81,4,4
132,GA,Southern,34.9,84.6,838,1,60,4,4
111,GA,Southern,33.7,83.4,131,1,101,4,4
110,AL,Southern,32.7,85.5,15,1,77,2,2
106,MS,Southern,33.3,88.8,82,1,70,4,2
120,MO,Southern,37.3,91.0,366,3,89,5,5
112,AR,Southern,35.7,93.2,427,1,91,5,4
115,AR,Southern,34.3,93.6,168,2,94,4,3
103,LA,Southern,30.5,91.2,9,1,77,6,6
