StandNumber,StateOrProvince,Latitude_Degrees,Longitude_Degrees,Elevation_ft,growingSeason_days,heightGrowth_mm,growthCessation_weeksAfterJuly6_1966
3243,Newfoundland,47.2,53.4,50,110,117.9,6.15
3244,Newfoundland,48.6,58.2,400,110,135.0,6.50
3241,Nova Scotia,46.6,60.5,100,120,146.0,7.10
3065,Nova Scotia,45.4,61.8,450,102,86.1,7.20
3242,Nova Scotia,44.8,65.2,650,130,117.8,7.05
3063,Nova Scotia,44.1,65.8,350,140,101.2,7.65
3068,New Brunswick,46.0,66.4,300,126,146.4,7.30
3066,New Brunswick,47.4,65.2,300,130,131.4,6.85
3067,New Brunswick,47.5,67.4,925,70,131.8,6.45
3001,Quebec,49.2,65.1,300,135,95.6,6.25
2998,Quebec,48.2,70.2,1000,107,108.4,6.40
2997,Quebec,47.0,70.3,400,120,100.8,6.80
2999,Quebec,47.4,72.6,1000,107,124.1,6.95
3000,Quebec,47.5,75.0,1500,90,104.0,6.60
3002,Ontario,45.1,76.9,1000,115,136.3,7.20
3003,Ontario,46.1,79.0,1000,115,117.2,6.95
3004,Ontario,46.7,79.6,1000,115,119.8,6.95
3311,Ontario,45.0,81.4,625,145,139.6,7.25
3309,Ontario,47.5,84.8,1000,110,118.4,6.75
2977,Maine,44.8,68.6,250,142,109.8,7.30
2956,Maine,43.7,70.9,1000,130,96.5,7.25
2985,New Hampshire,44.0,71.4,1900,125,101.6,7.00
2986,New Hampshire,43.5,71.4,1300,130,145.4,7.60
2982,Vermont,44.7,72.6,1250,115,124.5,7.25
2971,Massachusetts,42.7,73.2,1610,150,116.4,7.35
2980,New York,49.2,74.9,1620,111,130.6,7.40
2996,New York,42.5,74.2,2100,135,129.4,7.35
2976,New York,42.3,77.3,1300,145,150.6,7.75
2979,Pennsylvania,41.3,76.3,2300,150,132.3,7.35
3312,Pennsylvania,41.6,78.7,1800,120,158.4,7.75
2969,West Virgina,39.0,79.7,2200,145,164.0,8.15
3299,Virginia,37.8,79.1,3000,175,111.7,7.65
2959,North Carolina,35.7,82.3,5160,135,134.1,7.90
2973,Georgia,34.8,83.8,4700,185,111.2,7.35
2953,Tennessee,35.2,85.7,1740,180,115.0,7.90
2954,Tennessee,35.7,85.3,1420,185,90.2,7.50
3294,Kentucky,36.9,82.9,3600,180,142.5,8.55
2955,Ohio,39.5,82.5,830,165,131.0,7.65
2958,Indiana,38.3,86.5,700,165,118.7,7.35
2983,Illinois,41.9,89.4,680,164,112.3,7.45
3295,Iowa,42.4,93.1,1050,150,151.1,7.30
2961,Michigan,45.0,85.0,1000,110,163.8,7.55
2960,Michigan,45.9,84.8,625,140,126.6,6.90
2978,Michigan,46.7,87.9,1675,110,130.2,6.60
2987,Michigan,47.0,88.7,1250,140,108.3,6.90
2968,Wisconsin,46.5,92.1,1150,140,123.6,6.80
3298,Wisconsin,45.7,89.0,1710,110,96.1,7.45
3297,Wisconsin,44.5,90.4,1100,130,125.1,7.50
2962,Wisconsin,44.9,87.2,600,145,130.4,7.30
2963,Wisconsin,43.1,88.4,900,165,114.0,7.00
2964,Minnesota,44.2,94.1,800,150,95.4,6.90
2965,Minnesota,47.2,95.2,1480,100,127.6,7.00
2966,Minnesota,47.6,92.5,1700,110,122.0,6.75
2967,Minnesota,47.8,90.2,1400,130,107.6,6.60
2957,"Isle Royale, MI",47.9,89.1,750,120,101.2,6.65
