"","df","AIC","r2s"
"model.null",2,76.6476226686312,0
"model.day2",4,11.1804087961706,0.712911171947278
"model.tmaxat2",4,24.8274530152483,0.630365487133083
"model.dd0at",3,50.0936829354316,0.399341344535382
"model.dd0wt",3,48.1224432979675,0.420872665681826
"model.mwmt2",4,54.9065892855114,0.354815865164692
"model.mcmt",3,46.8550808077331,0.43430633783994
"model.mat",3,37.3621460003349,0.525501901946335
"model.map",3,68.7284311705274,0.151801454266515
"model.effp",3,54.5397872340655,0.347792947292027
"model.cmd",3,75.0309971011446,0.0467960144887993
"model.td",3,64.7022455099914,0.212742214994497
