"","df","AIC","r2s"
"model.null",2,122.847249934582,0
"model.day2",4,55.9309297092765,0.720512834944184
"model.dd0wt2",4,76.1476082048535,0.593599427263556
"model.dd0sp2",4,70.6712343870431,0.632793273991109
"model.dd5wt",3,74.2998263542879,0.600289684169268
"model.dd5sp",3,75.1274948955699,0.594116054780222
"model.mat",3,74.7108589020385,0.597235594942434
"model.mcmt2",4,71.8052736565786,0.62500012118518
"model.mwmt",3,107.041321771958,0.267059838469998
"model.td2",4,100.099331847277,0.366734514000688
"model.map",3,106.593680300676,0.273110547120586
"model.bffp",3,81.14424000744,0.546276276027355
