"","df","AIC","r2s"
"model.null",2,153.865229908987,0
"model.day",3,147.870006745493,0.280667527224463
"model.tmaxat",3,138.954960841672,0.529499197148999
"model.dd0at",3,139.97493084704,0.506082911697185
"model.mwmt",3,143.694331701522,0.410377800442383
"model.mcmt",3,143.715145600098,0.409793113753865
"model.mat",3,139.682457576064,0.51291416162871
"model.map",3,155.862062938538,-0.0524728455309202
"model.effp",3,143.216359727246,0.423646365057891
"model.dd0wt",3,143.318457986484,0.420837413573702
"model.cmd",3,153.772732531772,0.0471992157687686
"model.td",3,150.643457576407,0.179107019769498
