"","df","AIC","r2s"
"model.null",2,36.2949991575195,0
"model.day",3,6.92052883468091,0.732219426573423
"model.dd0wt",3,6.96211153870392,0.731734856479531
"model.dd0sp",3,14.1714978718443,0.632975937011563
"model.dd5wt",3,17.7572987201159,0.571053673803908
"model.dd5sp",3,17.9703375118272,0.567062076709375
"model.mat",3,16.0094123571762,0.602443628918847
"model.mcmt",3,6.39844621279153,0.738229374571145
"model.mwmt",3,32.9242108931845,0.170550057359128
"model.td",3,10.383255605362,0.688711160003213
"model.map",3,34.2938268793137,0.119657283238642
"model.bffp",3,20.2125056590918,0.522731166143428
