"","SourceNumber","StateOrProvince","Latitude_degrees","Longitude_degrees","Elevation_ft","Height_3yr_cm","Diam_3yr_mm","growthInitiation","PercentWinterDamage","ID2","Latitude","Longitude","Elevation","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","MAR","Eref","CMD","RH","CMI","DD1040","daylength_diff"
"1",2953,"Tennessee",35.2,85.7,1740,32.1,4.7,1.5,91.4,"Tennessee",35.2,-85.7,530.352,8.9,19.8,29,20.6,-1.1,7.9,17.7,9.1,3.9,13.9,23.4,14.8,445,392,324,292,-9999,-9999,-9999,-9999,76,7,0,4,147,841,1687,918,1267,464,13,412,0,81,502,125,10,67,92,71,12,0,0,0,107,323,457,235,32,33,133,15,66,63,67,64,37.77,15.88,-5.74,4.69,14,24,3,20.9,1454,532,16.5,45,87,3594,2156,709,240,105,301,195,12,-22.6,38.1,-9999,1122,213,65,52.61,2144,4.74807094674562
"2",2954,"Tennessee",35.7,85.3,1420,29.3,4.2,2,82.7,"Tennessee",35.7,-85.3,432.816,8.5,19.7,29.1,20.6,-2.7,6.9,17,7.7,2.9,13.3,23,14.2,418,370,337,269,-9999,-9999,-9999,-9999,98,8,0,5,115,796,1655,862,1359,507,16,454,0,73,470,105,8,63,92,64,17,0,0,0,105,328,466,241,31,45,129,36,61,60,65,61,35.83,13.46,-5.14,1.83,13.3,23.7,2,21.6,1394,534,16.7,44.3,112,3428,2336,648,227,111,294,184,18,-24.6,38.4,-9999,1140,241,62,45.98,2029,4.83965427053664
"3",2955,"Ohio",39.5,82.5,830,49.8,6.1,2.44,74.6,"Ohio",39.5,-82.5,252.984,5,17.8,29.1,19.5,-6,3.8,14.9,5.2,-0.5,10.8,22,12.4,205,291,280,197,-9999,-9999,-9999,-9999,220,20,0,11,48,608,1560,721,1662,703,25,581,0,38,377,67,4,53,92,59,38,1,0,0,0,303,477,220,0,47,197,56,59,56,59,56,17.84,8.26,-12.65,-4.31,11.2,22.8,-1.3,24.1,974,457,21.7,49.9,251,2936,2970,482,208,121,284,163,40,-28.5,38.9,-9999,1000,300,58,9.14,1701,5.58320285887454
"4",2956,"Maine",43.7,70.9,1000,46.1,6.2,3.56,19.6,"Maine",43.7,-70.9,304.8,-0.4,12.1,25.8,14.6,-12.5,-1.2,11.3,1.8,-6.5,5.4,18.5,8.2,283,281,255,304,-9999,-9999,-9999,-9999,628,93,0,34,10,290,1244,422,2195,1165,107,902,0,9,156,13,1,28,92,33,236,40,0,9,0,191,423,161,0,25,168,0,52,56,57,59,28.3,15.76,-8.96,14.4,6.4,19.8,-7.7,27.4,1123,434,14.6,45.6,754,1965,4369,179,154,142,266,125,286,-35.5,37,-9999,775,193,56,49.5,1018,6.52626123645149
"5",2957,"Isle Royale, MI",47.9,89.1,750,41.8,6,4,29.6,"Isle Royale",47.9,-89.1,228.6,-5,7.9,21.4,10.7,-15.1,-2.9,9.7,1.8,-10,2.5,15.6,6.2,137,176,239,200,-9999,-9999,-9999,-9999,914,183,0,81,1,161,976,327,2512,1428,267,1077,0,2,49,7,0,16,92,39,133,56,1,23,0,143,334,96,0,15,95,0,57,61,64,69,13.74,10.53,-0.7,9.85,3.6,16.9,-11.6,28.5,753,400,18,42.2,1178,1465,5285,58,147,151,269,117,213,-38.3,34,-9999,573,110,63,33.42,659,7.64615621237011
"6",2958,"Indiana",38.3,86.5,100,44,6.2,2.33,52.7,"Indiana",38.3,-86.5,30.48,6.8,19.4,30.4,20.6,-4.2,5.8,16.8,6.7,1.3,12.6,23.6,13.6,279,343,308,229,-9999,-9999,-9999,-9999,147,11,0,7,77,740,1709,823,1502,565,12,496,0,63,523,99,5,61,92,62,25,0,0,0,87,321,490,233,25,40,182,56,61,58,61,58,23.81,11.84,-11.06,-2.22,12.8,24.4,0.1,24.3,1159,489,19.7,49.9,165,3348,2574,685,220,114,289,176,25,-26.3,40.3,-9999,1131,303,59,22.37,2014,5.33862946807054
"7",2959,"North Carolina",35.7,82.3,5160,52.2,6.3,2,18.7,"North Carolina",35.7,-82.3,1572.768,4.5,13.5,22,14.5,-4.5,3.3,12.7,5.3,0,8.4,17.3,9.9,381,397,423,354,-9999,-9999,-9999,-9999,194,31,0,17,54,430,1134,522,1614,895,156,752,0,9,93,19,6,51,92,61,56,5,0,2,56,247,352,175,24,2,0,0,66,66,71,70,34.96,24.5,15.48,19.27,8.9,17.8,-0.5,18.3,1554,657,12.2,27.1,242,2139,3417,121,209,122,286,164,63,-27.2,31.4,-9999,830,26,69,94.22,1012,4.83965427053664
"8",2960,"Michigan",45.9,84.8,625,49.4,6.3,3.33,21.6,"Michigan",45.9,-84.8,190.5,-2,8.9,23.1,12.7,-10.5,-1.5,12.1,4.2,-6.3,3.7,17.6,8.5,120,179,206,231,-9999,-9999,-9999,-9999,610,142,0,34,6,204,1164,440,2174,1321,151,884,0,3,118,16,1,28,92,55,95,43,0,6,0,150,352,123,0,21,146,0,65,64,67,72,11.94,9.75,-5.84,11.07,5.9,18.8,-7.4,26.2,737,375,21.5,50.2,786,1814,4529,137,176,139,278,139,144,-32.6,35.1,-9999,625,167,67,26.93,915,7.08658286066276
"9",2961,"Michigan",45,85,1000,63.6,7.1,3.38,34.4,"Michigan",45,-85,304.8,-1.8,11.8,25.9,14.2,-10.9,-1.7,11.3,3,-6.3,5,18.6,8.6,148,185,231,259,-9999,-9999,-9999,-9999,616,122,0,38,8,287,1254,459,2181,1203,101,873,0,8,161,18,1,28,92,46,119,33,0,8,0,190,421,148,0,51,191,0,62,55,57,64,14.74,6.27,-11.9,10.5,6.5,19.6,-7.3,27,823,406,20,48.4,776,2008,4357,187,167,140,273,133,160,-33.2,37,-9999,759,242,60,19.6,1055,6.85096375054098
"10",2962,"Wisconsin",44.9,87.2,600,55.5,6.7,3.88,27.9,"Wisconsin",44.9,-87.2,182.88,-1.5,10.5,25,14,-10.4,-0.1,13.1,4.4,-6,5.2,19,9.2,110,198,243,202,-9999,-9999,-9999,-9999,590,98,0,33,9,275,1293,506,2151,1183,93,819,0,7,193,24,1,31,92,58,86,23,0,4,0,166,384,139,0,21,142,0,63,64,64,69,10.87,9.74,-5.9,5.97,6.9,20.2,-7.4,27.6,753,411,22.4,49.2,722,2084,4247,225,182,135,280,145,114,-33.1,36.9,-9999,690,163,65,20.67,1115,6.8253496853998
"11",2963,"Wisconsin",43.1,88.4,900,49.2,6.2,2.78,19,"Wisconsin",43.1,-88.4,274.32,-1.1,13.3,27.3,15.7,-10.6,1.7,14.4,4.4,-5.9,7.5,20.9,10,103,201,266,197,-9999,-9999,-9999,-9999,582,67,0,30,13,428,1460,572,2142,984,42,753,0,20,306,36,1,40,92,58,81,10,0,3,0,236,427,165,0,45,161,0,61,62,62,64,10.29,6.13,-9.02,2.41,8.1,21.9,-7.4,29.4,768,435,23.6,50.4,679,2473,3922,363,191,127,281,154,94,-33.6,39.2,-9999,828,206,62,9.81,1405,6.38214850896178
"12",2964,"Minnesota",44.2,94.1,800,49.6,6.4,3.28,12.7,"Minnesota",44.2,-94.1,243.84,-2.6,13.4,28,15.5,-13.7,1,14.7,3.1,-8.1,7.2,21.4,9.3,67,198,309,154,-9999,-9999,-9999,-9999,763,92,0,48,8,444,1507,541,2345,1013,34,821,0,26,343,33,0,36,92,52,62,17,0,4,0,203,436,163,0,47,126,17,54,59,61,60,6.74,5.23,-6.6,-2.07,7.4,22.5,-10.1,32.6,729,481,23.9,46.8,902,2499,4213,401,180,128,277,149,84,-36.7,40.6,-9999,802,190,59,3.29,1447,6.64906604543094
"13",2965,"Minnesota",47.2,95.2,1480,50.7,6.8,3.6,23.2,"Minnesota",47.2,-95.2,451.104,-6.2,10.2,25.3,11.9,-19.4,-3.6,11.6,0,-12.8,3.3,18.4,5.9,60,171,296,135,-9999,-9999,-9999,-9999,1161,205,0,118,2,255,1238,349,2766,1359,112,1104,0,10,156,11,0,26,92,32,60,40,0,19,0,173,396,115,0,34,100,8,46,53,60,60,6.02,6.65,-3.82,0.63,3.7,19.8,-15,34.8,661,441,20.7,44.8,1484,1844,5341,177,150,143,264,121,120,-42.1,39,-9999,684,142,54,9.48,966,7.44427066601219
"14",2966,"Minnesota",47.6,92.5,1700,54.5,6.7,3.25,26.8,"Minnesota",47.6,-92.5,518.16,-6.9,9.7,24,10.5,-18.9,-4,10.1,-0.7,-12.9,2.9,17,4.9,61,155,300,165,-9999,-9999,-9999,-9999,1169,206,0,142,1,221,1109,293,2774,1390,179,1195,0,8,89,7,0,17,92,31,60,38,0,30,0,169,383,107,0,42,83,0,49,53,58,62,6.07,5.43,-1.57,5.36,3,18.5,-14.7,33.2,681,455,19,40.6,1517,1624,5537,103,140,149,260,111,128,-41.9,36.8,-9999,659,125,56,15.29,793,7.55879479620368
