ID1,ID2,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at,CMI_wt,CMI_sp,CMI_sm,CMI_at,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
A1-22DR,Davidson River,35.28,-82.7,671,10.2,20.1,28.6,20.7,-3,5,15,6,3.6,12.5,21.8,13.3,377,377,426,324,-9999,-9999,-9999,-9999,81,9,0,6,134,726,1541,789,1295,555,27,502,0,48,363,75,8,60,92,61,10,0,0,0,120,349,480,251,36,45,54,0,55,54,61,55,29.84,11.72,2,5.73,12.8,22.4,3.2,19.2,1505,654,15.2,34.3,96,3190,2378,486,220,116,288,172,11,-25.3,37.1,-9999,1199,135,56,49.29,1791
A2-31PB,Panther Branch,35.27,-82.8,945,9.2,19.1,26.9,19,-3,5,14.8,5.9,3.1,12,20.8,12.5,435,429,460,379,-9999,-9999,-9999,-9999,91,10,0,7,118,681,1455,717,1336,594,40,561,0,37,301,55,8,59,92,61,14,0,0,1,113,331,443,229,33,22,7,0,58,57,64,59,36.37,18.45,9.49,14.46,12.1,21.5,2.8,18.7,1703,709,13,30.3,108,2971,2531,393,220,116,288,172,15,-25.3,35.4,-9999,1117,62,60,78.76,1614
A3-40CC,Courthouse Creek,35.28,-82.8,1219,7.9,17.5,25.3,17.6,-3,5,14.8,6.2,2.5,11.3,20,11.9,465,457,492,412,-9999,-9999,-9999,-9999,107,12,0,9,101,623,1380,667,1394,652,56,603,0,27,246,43,8,60,92,61,21,1,0,1,104,305,404,209,31,1,0,0,62,61,69,64,40.6,23.93,16.78,20.46,11.4,20.7,2.1,18.6,1827,758,11.7,27.4,128,2770,2706,316,221,116,289,173,23,-25.3,33.9,-9999,1021,32,64,101.77,1460
A4-52DC,Devils Courthouse,35.3,-82.8,1585,6.2,15.5,23.2,15.8,-3.1,5.2,14.8,6.4,1.6,10.3,19,11.1,507,490,540,456,-9999,-9999,-9999,-9999,134,16,0,11,81,551,1287,607,1475,732,85,657,0,18,180,32,8,60,92,62,36,1,0,1,91,267,350,184,27,0,0,0,67,67,75,70,46.18,30.83,26.59,27.83,10.5,19.8,1.1,18.7,1994,828,10.3,23.9,161,2526,2949,230,221,115,289,174,39,-25.3,32.1,-9999,892,27,69,131.42,1281
B1-22BC,Burns Creek,36.93,-82.5,640,7.5,18.8,27.8,19.6,-3.6,5.3,15.1,6.2,2,12,21.4,12.9,301,316,316,238,-9999,-9999,-9999,-9999,122,11,0,7,90,688,1510,752,1438,598,31,537,0,45,340,67,6,60,92,61,18,0,0,0,96,319,455,229,28,52,139,35,61,58,63,59,24.98,8.59,-6.24,-0.51,12.1,22.1,1.1,21,1170,502,18.9,44.1,141,3040,2603,451,220,117,288,171,19,-25.9,36.9,-9999,1098,254,60,26.82,1709
B2-24N,Norton,36.92,-82.6,732,7.1,18.4,27.3,19.2,-4.2,4.6,14.5,5.5,1.5,11.5,20.9,12.3,343,358,350,256,-9999,-9999,-9999,-9999,139,13,0,9,79,643,1465,711,1485,643,38,574,0,37,308,57,6,58,92,60,26,1,0,0,94,316,451,227,28,27,101,24,60,57,62,58,29.64,13.24,-2.42,1.65,11.6,21.7,0.6,21,1308,556,16.5,39,161,2898,2740,403,215,120,285,166,28,-26.7,36.6,-9999,1089,180,59,42.12,1604
B3-31BC,Burns Creek,36.9,-82.6,945,6.3,17.2,26.1,18.1,-4.3,4.4,13.9,5.4,1,10.8,20,11.8,387,399,371,276,-9999,-9999,-9999,-9999,157,16,0,10,70,590,1380,661,1528,697,56,613,0,27,246,44,5,57,92,60,37,1,0,1,89,297,429,215,26,5,62,9,62,60,64,60,34.56,19.23,2.01,5.38,10.9,20.7,0.1,20.6,1432,594,14.6,34.8,182,2702,2895,317,214,121,285,164,39,-26.9,35.4,-9999,1030,102,61,61.18,1443
B4-30N,Norton,36.92,-82.6,914,6.4,17.3,26.2,18.2,-4.3,4.4,14,5.4,1.1,10.9,20.1,11.8,370,383,366,268,-9999,-9999,-9999,-9999,154,15,0,10,71,597,1388,667,1521,690,54,608,0,28,251,45,5,58,92,60,34,1,0,1,89,299,431,216,26,11,65,10,61,60,64,60,32.76,17.39,1.39,4.46,11,20.8,0.2,20.6,1387,584,15.1,35.6,179,2722,2875,325,214,121,285,164,36,-26.9,35.5,-9999,1036,112,61,56,1458
B5-30SC,Stony Creek,36.88,-82.6,914,6.5,17.5,26.5,18.4,-4.1,4.7,14.2,5.7,1.2,11.1,20.3,12,381,394,361,272,-9999,-9999,-9999,-9999,147,14,0,9,75,614,1411,684,1505,672,49,593,0,30,268,49,6,59,92,60,33,1,0,1,90,301,434,218,27,10,74,13,62,60,64,60,33.76,18.17,0.42,4.55,11.2,21,0.3,20.7,1408,579,15,36.3,171,2783,2819,348,216,120,286,166,34,-26.6,35.7,-9999,1043,124,61,56.9,1503
B6-40HK,High Knob,36.88,-82.6,1219,5.3,15.8,24.8,17,-4.4,4.3,13.6,5.4,0.4,10.1,19.2,11.2,452,461,397,305,-9999,-9999,-9999,-9999,179,19,0,12,61,538,1307,615,1578,755,77,655,0,20,192,35,5,57,92,60,56,2,0,1,57,275,405,202,24,0,39,0,64,63,66,63,41.73,27.36,6.94,10.06,10.2,19.8,-0.5,20.4,1615,641,12.5,30.9,210,2520,3066,247,214,121,285,164,59,-27.1,34.2,-9999,939,63,64,86.09,1306
